Name,length (m),DIPOLE: Bending angle [rad],DIPOLE: Field (T),QUADRUPOLE: Gradient (T/m),QUADRUPOLE: K1L,Twiss s [m],start s [m],start X (m),start Theta [rad],start Z (m),Z end (m),dX [m],dY [m],dX/dS,dY/dS,beta X [m],beta Y [m],eta X [m],eta prime X,alpha X,alpha Y,Aperture Type,Aperture 1 [m],Aperture 2 [m],Aperture 3 [m],Aperture 4 [m]
DR_01_19,0.15,,,,,225.2600638,225.1100634,-2.071815036,0.01829745409,225.0973507,225.2473256,-1.663406503E-08,0,2.267892433E-10,0,109.9842983,56.36949463,0.5258560636,-0.007169534646,1.474459572,-0.7873432099,,,,,
SF1A_0,0.3,,,,,225.5600638,225.2600634,-2.074559501,0.01829745409,225.2473256,225.5472754,-1.660004665E-08,0,2.267892433E-10,0,109.5426098,56.60634418,0.5247806333,-0.007169534646,1.47013073,-0.7916538109,,,,,
DR_01_20,0.15,,,,,225.7100638,225.5600634,-2.080048431,0.01829745409,225.5472754,225.6972503,-1.653200988E-08,0,2.267892307E-10,0,108.6631287,57.0839228,0.522629773,-0.007169533854,1.461472882,-0.8002749265,,,,,
DL1A0_7,9.500003037,0.0008713073363,0.01395021307,,,235.2100668,225.7100634,-2.082792896,0.01829745409,225.6972503,235.1955862,-1.649799149E-08,0,2.267892307E-10,0,108.2253362,57.32465187,0.5215543429,-0.007169533854,1.457144041,-0.8045855271,,,,,
DS_DL1A0_7,0.17,,,,,235.3800668,235.2100664,-2.260747062,0.01916876143,235.1955862,235.365555,-1.447441055E-08,0,1.99227727E-10,0,83.14411462,75.20527882,0.457582467,-0.006298226463,1.182984034,-1.077584415,,,,,
DL1A1_7,9.500003037,0.0008713073363,0.01395021307,,,244.8800699,235.3800664,-2.264005552,0.01916876143,235.365555,244.8637322,-1.444054184E-08,0,1.99227727E-10,0,82.74273407,75.57248803,0.4565117685,-0.006298226463,1.178078013,-1.082469737,,,,,
DS_DL1A1_7,0.17,,,,,245.0500699,244.8800694,-2.450235619,0.02004006877,244.8637322,245.0336981,-1.267879524E-08,0,1.716662232E-10,0,62.96376806,98.73288722,0.4008173146,-0.005426919071,0.9039180066,-1.355465315,,,,,
DL1A2_7,9.500003037,0.0008713073363,0.01395021307,,,254.5500729,245.0500694,-2.453642203,0.02004006877,245.0336981,254.5317094,-1.264961198E-08,0,1.716662232E-10,0,62.65726996,99.19457592,0.3998947384,-0.005426919071,0.8990119864,-1.360350604,,,,,
DR_01_21,0.15,,,,,254.7000729,254.5500724,-2.64814803,0.02091137611,254.5317094,254.6816766,-1.114969971E-08,0,1.441047194E-10,0,48.18055948,127.6346758,0.3524777066,-0.00455561168,0.6248519796,-1.633342022,,,,,
QD1A_2,1.86,,,2.083153068,-0.02547422103,256.5600729,254.7000724,-2.651284508,0.02091137611,254.6816766,256.5412699,-1.1128084E-08,0,1.441047194E-10,0,47.99375322,128.1253249,0.3517943649,-0.00455561168,0.6205231382,-1.637652535,,,,,
